method,init,ct,endpoint_relative_error,token_agreement,exact_block_match,initial_endpoint_relative_error,initial_token_agreement,trainable_parameters,trainable_fraction
default,0,0,0.8767709620296955,0.4505615234375,0.005859375,1.01119589433074,0.4317626953125,5770752,0.0008563626583028656
tuned,0,0,0.8601560555398464,0.4542236328125,0.00390625,1.01119589433074,0.4317626953125,5770752,0.0008563626583028656
